date,date_id,year,month,day,is_weekend,day_of_week,week_of_year
7/21/2015,1,2015,7,21,FALSE,Tuesday,30
5/1/2015,2,2015,5,1,FALSE,Friday,18
9/19/2015,3,2015,9,19,TRUE,Saturday,38
12/12/2015,4,2015,12,12,TRUE,Saturday,50
1/2/2015,5,2015,1,2,FALSE,Friday,1
2/14/2015,6,2015,2,14,TRUE,Saturday,7
8/5/2015,7,2015,8,5,FALSE,Wednesday,32
12/23/2015,8,2015,12,23,FALSE,Wednesday,52
3/20/2015,9,2015,3,20,FALSE,Friday,12
12/2/2015,10,2015,12,2,FALSE,Wednesday,49
2/24/2015,11,2015,2,24,FALSE,Tuesday,9
4/14/2015,12,2015,4,14,FALSE,Tuesday,16
3/9/2015,13,2015,3,9,FALSE,Monday,11
3/30/2015,14,2015,3,30,FALSE,Monday,14
3/5/2015,15,2015,3,5,FALSE,Thursday,10
2/9/2015,16,2015,2,9,FALSE,Monday,7
3/8/2015,17,2015,3,8,TRUE,Sunday,10
7/7/2015,18,2015,7,7,FALSE,Tuesday,28
8/9/2015,19,2015,8,9,TRUE,Sunday,32
12/11/2015,20,2015,12,11,FALSE,Friday,50
9/18/2015,21,2015,9,18,FALSE,Friday,38
11/30/2015,22,2015,11,30,FALSE,Monday,49
7/17/2015,23,2015,7,17,FALSE,Friday,29
12/6/2015,24,2015,12,6,TRUE,Sunday,49
2/13/2015,25,2015,2,13,FALSE,Friday,7
1/14/2015,26,2015,1,14,FALSE,Wednesday,3
8/3/2015,27,2015,8,3,FALSE,Monday,32
1/27/2015,28,2015,1,27,FALSE,Tuesday,5
10/22/2015,29,2015,10,22,FALSE,Thursday,43
10/26/2015,30,2015,10,26,FALSE,Monday,44
8/10/2015,31,2015,8,10,FALSE,Monday,33
3/10/2015,32,2015,3,10,FALSE,Tuesday,11
11/4/2015,33,2015,11,4,FALSE,Wednesday,45
2/21/2015,34,2015,2,21,TRUE,Saturday,8
9/29/2015,35,2015,9,29,FALSE,Tuesday,40
9/1/2015,36,2015,9,1,FALSE,Tuesday,36
3/4/2015,37,2015,3,4,FALSE,Wednesday,10
4/20/2015,38,2015,4,20,FALSE,Monday,17
4/8/2015,39,2015,4,8,FALSE,Wednesday,15
7/19/2015,40,2015,7,19,TRUE,Sunday,29
6/10/2015,41,2015,6,10,FALSE,Wednesday,24
10/16/2015,42,2015,10,16,FALSE,Friday,42
6/6/2015,43,2015,6,6,TRUE,Saturday,23
9/26/2015,44,2015,9,26,TRUE,Saturday,39
8/15/2015,45,2015,8,15,TRUE,Saturday,33
5/21/2015,46,2015,5,21,FALSE,Thursday,21
8/25/2015,47,2015,8,25,FALSE,Tuesday,35
11/3/2015,48,2015,11,3,FALSE,Tuesday,45
5/6/2015,49,2015,5,6,FALSE,Wednesday,19
7/28/2015,50,2015,7,28,FALSE,Tuesday,31
5/9/2015,51,2015,5,9,TRUE,Saturday,19
6/19/2015,52,2015,6,19,FALSE,Friday,25
11/10/2015,53,2015,11,10,FALSE,Tuesday,46
6/16/2015,54,2015,6,16,FALSE,Tuesday,25
1/20/2015,55,2015,1,20,FALSE,Tuesday,4
2/15/2015,56,2015,2,15,TRUE,Sunday,7
4/13/2015,57,2015,4,13,FALSE,Monday,16
7/2/2015,58,2015,7,2,FALSE,Thursday,27
2/3/2015,59,2015,2,3,FALSE,Tuesday,6
3/14/2015,60,2015,3,14,TRUE,Saturday,11
12/22/2015,61,2015,12,22,FALSE,Tuesday,52
1/7/2015,62,2015,1,7,FALSE,Wednesday,2
3/11/2015,63,2015,3,11,FALSE,Wednesday,11
12/4/2015,64,2015,12,4,FALSE,Friday,49
5/5/2015,65,2015,5,5,FALSE,Tuesday,19
12/5/2015,66,2015,12,5,TRUE,Saturday,49
8/7/2015,67,2015,8,7,FALSE,Friday,32
9/21/2015,68,2015,9,21,FALSE,Monday,39
10/12/2015,69,2015,10,12,FALSE,Monday,42
9/30/2015,70,2015,9,30,FALSE,Wednesday,40
1/31/2015,71,2015,1,31,TRUE,Saturday,5
12/13/2015,72,2015,12,13,TRUE,Sunday,50
4/3/2015,73,2015,4,3,FALSE,Friday,14
12/20/2015,74,2015,12,20,TRUE,Sunday,51
6/11/2015,75,2015,6,11,FALSE,Thursday,24
2/18/2015,76,2015,2,18,FALSE,Wednesday,8
7/22/2015,77,2015,7,22,FALSE,Wednesday,30
8/23/2015,78,2015,8,23,TRUE,Sunday,34
4/15/2015,79,2015,4,15,FALSE,Wednesday,16
1/26/2015,80,2015,1,26,FALSE,Monday,5
12/29/2015,81,2015,12,29,FALSE,Tuesday,53
10/20/2015,82,2015,10,20,FALSE,Tuesday,43
8/17/2015,83,2015,8,17,FALSE,Monday,34
5/17/2015,84,2015,5,17,TRUE,Sunday,20
7/25/2015,85,2015,7,25,TRUE,Saturday,30
11/9/2015,86,2015,11,9,FALSE,Monday,46
6/18/2015,87,2015,6,18,FALSE,Thursday,25
8/12/2015,88,2015,8,12,FALSE,Wednesday,33
4/25/2015,89,2015,4,25,TRUE,Saturday,17
5/14/2015,90,2015,5,14,FALSE,Thursday,20
4/5/2015,91,2015,4,5,TRUE,Sunday,14
10/10/2015,92,2015,10,10,TRUE,Saturday,41
11/6/2015,93,2015,11,6,FALSE,Friday,45
