subcategory,subcategory_id
Fruit,1
Milk,2
Vegetable,3
Roll,4
Indoor Plants,5
Beef,6
sausage ,7
Chicken,8
Butter,9
Chocolate,10
protein bar,11
Water,12
Yogurt,13
Sausage,14
Bread,15
Meat,16
Pork,17
Pastry,18
Beer,19
Berries,20
Coffee,21
Misc,22
Processed Meat,23
chicken,24
Cheese,25
Wine,26
Potato,27
Baking,28
suger,29
forzen meals,30
Fresh Herbs,31
Soda,32
Detergent,33
Grape,34
Fish,35
Paper,36
Pasta,37
Popcorn,38
Instant Meals,39
beverages,40
cake,41
dog food,42
Cleaner,43
Cream,44
Alcoholic Beverages,45
Alcoholic Appetizers,46
Candy,47
Vegetables,48
Hair Care,49
Accessories,50
eggs,51
bags,52
salt,53
cooking oil,54
baking,55
Snack,56
pet care,57
Feminine Care,58
Storage & Organization,59
Soap,60
Household Care,61
frozen dessert,62
Nuts,63
Hygiene,64
sweeterns,65
tools,66
candy,67
Kitchenware,68
cat food,69
biscuits,70
baby care,71
seasonings,72
paper ,73
waffles,74
Sauces,75
packed bakery,76
Spreads,77
canned,78
sauces,79
oral care,80
Towel,81
garden,82
Cereal,83
serverware,84
male care,85
candle,86
Holiday Decorations,87
skin care,88
first aid,89
soft drinks,90
Cleaning Products,91
Organic Foods,92
Cake,93
seeds,94
Rice,95
Tea,96
Salad,97
soup,98
canning,99
